Diff,Winning,Key,Rank,3rd Score,% Occurences,Count Occurences
2,Away,2A,1,0 to 1,0.189119171,73
2,Away,2A,2,1 to 2,0.111398964,43
2,Away,2A,3,0 to 2,0.101036269,39
2,Away,2A,4,1 to 1,0.101036269,39
2,Away,2A,5,2 to 0,0.095854922,37
2,Away,2A,6,1 to 0,0.095854922,37
2,Away,2A,7,2 to 1,0.054404145,21
2,Away,2A,,0 to 0,0.051813472,20
2,Away,2A,,0 to 3,0.015544041,6
2,Away,2A,,0 to 4,0.012953368,5
2,Away,2A,,1 to 3,0.020725389,8
2,Away,2A,,2 to 2,0.038860104,15
2,Away,2A,,2 to 3,0.018134715,7
2,Away,2A,,2 to 4,0.007772021,3
2,Away,2A,,3 to 0,0.015544041,6
2,Away,2A,,3 to 1,0.028497409,11
2,Away,2A,,3 to 2,0.005181347,2
2,Away,2A,,3 to 3,0.002590674,1
2,Away,2A,,3 to 4,0.002590674,1
2,Away,2A,,4 to 0,0.012953368,5
2,Away,2A,,4 to 1,0.005181347,2
2,Away,2A,,4 to 2,0.002590674,1
2,Away,2A,,4 to 4,0.002590674,1
2,Away,2A,,5 to 0,0.002590674,1
2,Away,2A,,5 to 1,0.002590674,1
2,Away,2A,,6 to 2,0.002590674,1
2,Home,2H,1,1 to 0,0.215555556,97
2,Home,2H,2,2 to 0,0.137777778,62
2,Home,2H,3,1 to 1,0.115555556,52
2,Home,2H,4,2 to 1,0.115555556,52
2,Home,2H,5,0 to 2,0.082222222,37
2,Home,2H,6,0 to 1,0.073333333,33
2,Home,2H,7,2 to 2,0.046666667,21
2,Home,2H,,0 to 0,0.044444444,20
2,Home,2H,,0 to 3,0.006666667,3
2,Home,2H,,0 to 4,0.008888889,4
2,Home,2H,,0 to 5,0.006666667,3
2,Home,2H,,1 to 2,0.026666667,12
2,Home,2H,,1 to 3,0.013333333,6
2,Home,2H,,1 to 4,0.002222222,1
2,Home,2H,,1 to 5,0.004444444,2
2,Home,2H,,2 to 3,0.008888889,4
2,Home,2H,,2 to 4,0.006666667,3
2,Home,2H,,3 to 0,0.022222222,10
2,Home,2H,,3 to 1,0.031111111,14
2,Home,2H,,3 to 2,0.015555556,7
2,Home,2H,,3 to 3,0.006666667,3
2,Home,2H,,4 to 0,0.002222222,1
2,Home,2H,,4 to 2,0.006666667,3
3,Away,3A,1,0 to 1,0.222891566,37
3,Away,3A,2,1 to 1,0.162650602,27
3,Away,3A,3,0 to 0,0.120481928,20
3,Away,3A,4,2 to 1,0.108433735,18
3,Away,3A,5,1 to 2,0.084337349,14
3,Away,3A,6,1 to 0,0.048192771,8
3,Away,3A,7,2 to 2,0.048192771,8
3,Away,3A,,0 to 2,0.030120482,5
3,Away,3A,,0 to 3,0.024096386,4
3,Away,3A,,1 to 3,0.018072289,3
3,Away,3A,,2 to 0,0.042168675,7
3,Away,3A,,2 to 3,0.012048193,2
3,Away,3A,,3 to 0,0.036144578,6
3,Away,3A,,3 to 1,0.024096386,4
3,Away,3A,,3 to 3,0.006024096,1
3,Away,3A,,4 to 0,0.006024096,1
3,Away,3A,,4 to 1,0.006024096,1
3,Home,3H,1,1 to 0,0.215,43
3,Home,3H,2,1 to 1,0.17,34
3,Home,3H,3,0 to 0,0.09,18
3,Home,3H,4,2 to 1,0.085,17
3,Home,3H,5,2 to 2,0.065,13
3,Home,3H,6,0 to 1,0.055,11
3,Home,3H,7,0 to 2,0.055,11
3,Home,3H,,0 to 3,0.045,9
3,Home,3H,,0 to 5,0.005,1
3,Home,3H,,1 to 2,0.045,9
3,Home,3H,,1 to 3,0.015,3
3,Home,3H,,1 to 4,0.01,2
3,Home,3H,,2 to 0,0.05,10
3,Home,3H,,2 to 3,0.005,1
3,Home,3H,,2 to 4,0.005,1
3,Home,3H,,3 to 0,0.03,6
3,Home,3H,,3 to 1,0.015,3
3,Home,3H,,3 to 2,0.02,4
3,Home,3H,,3 to 3,0.005,1
3,Home,3H,,4 to 1,0.01,2
3,Home,3H,,4 to 2,0.005,1
4,Away,4A,1,0 to 1,0.19,19
4,Away,4A,2,1 to 1,0.13,13
4,Away,4A,3,2 to 1,0.13,13
4,Away,4A,4,0 to 2,0.11,11
4,Away,4A,5,1 to 0,0.11,11
4,Away,4A,6,1 to 2,0.09,9
4,Away,4A,7,2 to 0,0.08,8
4,Away,4A,,0 to 0,0.08,8
4,Away,4A,,0 to 4,0.01,1
4,Away,4A,,2 to 2,0.02,2
4,Away,4A,,2 to 3,0.01,1
4,Away,4A,,3 to 1,0.01,1
4,Away,4A,,3 to 2,0.01,1
4,Away,4A,,4 to 0,0.01,1
4,Away,4A,,5 to 3,0.01,1
4,Home,4H,1,0 to 0,0.172413793,30
4,Home,4H,2,1 to 0,0.166666667,29
4,Home,4H,3,1 to 1,0.137931034,24
4,Home,4H,4,0 to 1,0.109195402,19
4,Home,4H,5,2 to 1,0.057471264,10
4,Home,4H,6,1 to 2,0.057471264,10
4,Home,4H,7,2 to 0,0.045977011,8
4,Home,4H,,0 to 2,0.034482759,6
4,Home,4H,,0 to 3,0.022988506,4
4,Home,4H,,0 to 4,0.011494253,2
4,Home,4H,,1 to 3,0.017241379,3
4,Home,4H,,1 to 4,0.005747126,1
4,Home,4H,,1 to 6,0.005747126,1
4,Home,4H,,2 to 2,0.040229885,7
4,Home,4H,,2 to 3,0.028735632,5
4,Home,4H,,3 to 0,0.005747126,1
4,Home,4H,,3 to 1,0.040229885,7
4,Home,4H,,3 to 2,0.011494253,2
4,Home,4H,,4 to 0,0.011494253,2
4,Home,4H,,4 to 1,0.011494253,2
4,Home,4H,,4 to 2,0.005747126,1
